event_id,date_id,time_id,zone_id,city_name,domain_name,event_type_id,impact_score,severity_id,affected_people,duration_minutes
1000,20251221,1200,1,Casablanca,Composite,0,19.55,1,0,60
1001,20251221,1200,1,Casablanca,Mobility,1,18.0,1,492,60
1002,20251221,1200,1,Casablanca,Affluence,2,33.0,1,16500,60
1003,20251221,1200,1,Casablanca,Weather,3,12.0,1,0,60
1004,20251221,1200,1,Casablanca,Security,4,2.0,1,0,60
1005,20251221,1200,1,Casablanca,Infrastructure,5,7.0,1,0,60
1006,20251221,1300,1,Casablanca,Composite,0,20.3,1,0,60
1007,20251221,1300,1,Casablanca,Mobility,1,25.0,1,3356,60
1008,20251221,1300,1,Casablanca,Affluence,2,39.0,1,19500,60
1009,20251221,1300,1,Casablanca,Weather,3,1.0,1,0,60
1010,20251221,1300,1,Casablanca,Security,4,8.0,1,0,60
1011,20251221,1300,1,Casablanca,Infrastructure,5,7.0,1,0,60
1012,20251221,1400,1,Casablanca,Composite,0,9.35,1,0,60
1013,20251221,1400,1,Casablanca,Mobility,1,24.0,1,4095,60
1014,20251221,1400,1,Casablanca,Affluence,2,10.0,1,5000,60
1015,20251221,1400,1,Casablanca,Weather,3,1.0,1,0,60
1016,20251221,1400,1,Casablanca,Security,4,15.0,1,0,60
1017,20251221,1400,1,Casablanca,Infrastructure,5,4.0,1,0,60
1018,20251221,1500,1,Casablanca,Composite,0,9.85,1,0,60
1019,20251221,1500,1,Casablanca,Mobility,1,19.0,1,261,60
1020,20251221,1500,1,Casablanca,Affluence,2,14.0,1,7000,60
1021,20251221,1500,1,Casablanca,Weather,3,3.0,1,0,60
1022,20251221,1500,1,Casablanca,Security,4,6.0,1,0,60
1023,20251221,1500,1,Casablanca,Infrastructure,5,2.0,1,0,60
1024,20251221,1600,1,Casablanca,Composite,0,18.4,1,0,60
1025,20251221,1600,1,Casablanca,Mobility,1,10.0,1,4328,60
1026,20251221,1600,1,Casablanca,Affluence,2,34.0,1,17000,60
1027,20251221,1600,1,Casablanca,Weather,3,18.0,1,0,60
1028,20251221,1600,1,Casablanca,Security,4,5.0,1,0,60
1029,20251221,1600,1,Casablanca,Infrastructure,5,0.0,1,0,60
1030,20251221,1700,1,Casablanca,Composite,0,22.4,1,0,60
1031,20251221,1700,1,Casablanca,Mobility,1,57.0,2,2563,60
1032,20251221,1700,1,Casablanca,Affluence,2,28.0,1,14000,60
1033,20251221,1700,1,Casablanca,Weather,3,0.0,1,0,60
1034,20251221,1700,1,Casablanca,Security,4,5.0,1,0,60
1035,20251221,1700,1,Casablanca,Infrastructure,5,6.0,1,0,60
1036,20251221,1800,1,Casablanca,Composite,0,66.15,3,0,60
1037,20251221,1800,1,Casablanca,Mobility,1,87.0,3,3414,60
1038,20251221,1800,1,Casablanca,Affluence,2,35.0,1,17500,60
1039,20251221,1800,1,Casablanca,Weather,3,94.0,3,0,60
1040,20251221,1800,1,Casablanca,Security,4,49.0,2,0,60
1041,20251221,1800,1,Casablanca,Infrastructure,5,65.0,2,0,60
1042,20251221,1900,1,Casablanca,Composite,0,79.8,4,0,60
1043,20251221,1900,1,Casablanca,Mobility,1,96.0,3,4334,60
1044,20251221,1900,1,Casablanca,Affluence,2,71.0,3,35500,60
1045,20251221,1900,1,Casablanca,Weather,3,91.0,3,0,60
1046,20251221,1900,1,Casablanca,Security,4,41.0,2,0,60
1047,20251221,1900,1,Casablanca,Infrastructure,5,65.0,2,0,60
1048,20251221,2000,1,Casablanca,Composite,0,86.65,4,0,60
1049,20251221,2000,1,Casablanca,Mobility,1,100.0,3,3979,60
1050,20251221,2000,1,Casablanca,Affluence,2,84.0,3,42000,60
